filename, language, Groovy, Properties, XML, Markdown, Java, Batch, comment, blank, total
e:\qisdk_navigation_demo\README.md, Markdown, 0, 0, 0, 16, 0, 0, 0, 3, 19
e:\qisdk_navigation_demo\app\build.gradle, Groovy, 51, 0, 0, 0, 0, 0, 2, 4, 57
e:\qisdk_navigation_demo\app\src\main\AndroidManifest.xml, XML, 0, 0, 26, 0, 0, 0, 0, 4, 30
e:\qisdk_navigation_demo\app\src\main\assets\robot\robotsdk.xml, XML, 0, 0, 4, 0, 0, 0, 0, 1, 5
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\Constant.java, Java, 0, 0, 0, 0, 6, 0, 0, 2, 8
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\MainActivity.java, Java, 0, 0, 0, 0, 332, 0, 25, 43, 400
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\MyApplication.java, Java, 0, 0, 0, 0, 69, 0, 14, 11, 94
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\callback\EnterRobotInfoCallBack.java, Java, 0, 0, 0, 0, 5, 0, 0, 4, 9
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\callback\InitServiceCallBack.java, Java, 0, 0, 0, 0, 4, 0, 0, 2, 6
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\callback\SayCallBack.java, Java, 0, 0, 0, 0, 4, 0, 0, 2, 6
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\fragment\BaseFragment.java, Java, 0, 0, 0, 0, 20, 0, 0, 6, 26
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\fragment\CreateMapFragment.java, Java, 0, 0, 0, 0, 359, 0, 28, 27, 414
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\fragment\LoadMapFragment.java, Java, 0, 0, 0, 0, 193, 0, 11, 24, 228
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\fragment\NavigationFragment.java, Java, 0, 0, 0, 0, 417, 0, 58, 23, 498
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\utils\FolderUtils.java, Java, 0, 0, 0, 0, 32, 0, 2, 7, 41
e:\qisdk_navigation_demo\app\src\main\java\cn\softbankrobotics\navigation\utils\LogUtils.java, Java, 0, 0, 0, 0, 51, 0, 9, 16, 76
